word,annotation_level1_Dieuwertje,annotation_level2_Dieuwertje,annotation_level3_Dieuwertje,annotation_level1_Thirza,annotation_level2_Thirza,annotation_level3_Thirza
Eerste,O,O,O,O,O,O
Hoofdstuk,O,O,O,O,O,O
.,O,O,O,O,O,O
Afhakken,O,O,O,O,O,O
van,O,O,O,O,O,O
',O,O,O,O,O,O
t,O,O,O,O,O,O
vleesch,An,Prod,Lit,An,Prod,Lit
in,O,O,O,O,O,O
de,O,O,O,O,O,O
Slacht,O,O,O,O,O,O
-,O,O,O,O,O,O
tyd,O,O,O,O,O,O
",",O,O,O,O,O,O
en,O,O,O,O,O,O
hoe,O,O,O,O,O,O
men,O,O,O,O,O,O
de,O,O,O,O,O,O
stukken,O,O,O,O,O,O
best,O,O,O,O,O,O
en,O,O,O,O,O,O
ten,O,O,O,O,O,O
meesten,O,O,O,O,O,O
voordeelen,O,O,O,O,O,O
zal,O,O,O,O,O,O
gebruiken,O,O,O,O,O,O
",",O,O,O,O,O,O
en,O,O,O,O,O,O
hoe,O,O,O,O,O,O
men,O,O,O,O,O,O
verder,O,O,O,O,O,O
met,O,O,O,O,O,O
alles,O,O,O,O,O,O
in,O,O,O,O,O,O
de,O,O,O,O,O,O
Slacht,O,O,O,O,O,O
-,O,O,O,O,O,O
tyd,O,O,O,O,O,O
",",O,O,O,O,O,O
moet,O,O,O,O,O,O
handelen,O,O,O,O,O,O
.,O,O,O,O,O,O
1,O,O,O,O,O,O
.,O,O,O,O,O,O
Afhakken,O,O,O,O,O,O
van,O,O,O,O,O,O
een,O,O,O,O,O,O
Os,An,Org,Lit,An,Org,Lit
",",O,O,O,O,O,O
en,O,O,O,O,O,O
hoe,O,O,O,O,O,O
men,O,O,O,O,O,O
daar,O,O,O,O,O,O
mede,O,O,O,O,O,O
handeldt,O,O,O,O,O,O
",",O,O,O,O,O,O
en,O,O,O,O,O,O
hoe,O,O,O,O,O,O
men,O,O,O,O,O,O
de,O,O,O,O,O,O
stukken,O,O,O,O,O,O
best,O,O,O,O,O,O
gebruikt,O,O,O,O,O,O
.,O,O,O,O,O,O
Als,O,O,O,O,O,O
de,O,O,O,O,O,O
Os,An,Org,Lit,An,Org,Lit
doormidden,O,O,O,O,O,O
gehakt,O,O,O,O,O,O
is,O,O,O,O,O,O
",",O,O,O,O,O,O
dan,O,O,O,O,O,O
moet,O,O,O,O,O,O
men,O,O,O,O,O,O
ieder,O,O,O,O,O,O
zyde,O,O,O,An,Part,Lit
nog,O,O,O,O,O,O
eens,O,O,O,O,O,O
midden,O,O,O,O,O,O
door,O,O,O,O,O,O
laaten,O,O,O,O,O,O
hakken,O,O,O,O,O,O
",",O,O,O,O,O,O
maar,O,O,O,O,O,O
zo,O,O,O,O,O,O
",",O,O,O,O,O,O
dat,O,O,O,O,O,O
de,O,O,O,O,O,O
voorste,O,O,O,O,O,O
zyde,O,O,O,An,Part,Lit
",",O,O,O,O,O,O
het,O,O,O,O,O,O
kortste,O,O,O,O,O,O
is,O,O,O,O,O,O
",",O,O,O,O,O,O
om,O,O,O,O,O,O
dat,O,O,O,O,O,O
de,O,O,O,O,O,O
ribbenstukken,An,Prod,Lit,An,Prod,Lit
dan,O,O,O,O,O,O
veel,O,O,O,O,O,O
beeter,O,O,O,O,O,O
uitkomen,O,O,O,O,O,O
.,O,O,O,O,O,O
Het,O,O,O,O,O,O
bloedige,O,O,O,An,Prod,Lit
van,O,O,O,O,O,O
den,O,O,O,O,O,O
hals,An,Part,Lit,An,Part,Lit
",",O,O,O,O,O,O
met,O,O,O,O,O,O
den,O,O,O,O,O,O
Afval,O,O,O,O,O,O
;,O,O,O,O,O,O
legt,O,O,O,O,O,O
men,O,O,O,O,O,O
byzonder,O,O,O,O,O,O
",",O,O,O,O,O,O
en,O,O,O,O,O,O
is,O,O,O,O,O,O
geschikt,O,O,O,O,O,O
tot,O,O,O,O,O,O
Huspot,O,O,O,O,O,O
;,O,O,O,O,O,O
en,O,O,O,O,O,O
kan,O,O,O,O,O,O
",",O,O,O,O,O,O
na,O,O,O,O,O,O
dat,O,O,O,O,O,O
het,O,O,O,O,O,O
uitgetrokken,O,O,O,O,O,O
is,O,O,O,O,O,O
en,O,O,O,O,O,O
een,O,O,O,O,O,O
dag,O,O,O,O,O,O
of,O,O,O,O,O,O
zes,O,O,O,O,O,O
in,O,O,O,O,O,O
',O,O,O,O,O,O
t,O,O,O,O,O,O
zout,O,O,O,O,O,O
gelegen,O,O,O,O,O,O
heeft,O,O,O,O,O,O
",",O,O,O,O,O,O
gegeeten,O,O,O,O,O,O
worden,O,O,O,O,O,O
.,O,O,O,O,O,O
Dat,O,O,O,O,O,O
geheel,O,O,O,O,O,O
vleesch,An,Prod,Lit,An,Prod,Lit
zonder,O,O,O,O,O,O
been,O,O,O,An,Part,Lit
is,O,O,O,O,O,O
",",O,O,O,O,O,O
gebruikt,O,O,O,O,O,O
men,O,O,O,O,O,O
om,O,O,O,O,O,O
daar,O,O,O,O,O,O
Osse,O,O,O,O,O,O
-,O,O,O,O,O,O
worst,O,O,O,O,O,O
van,O,O,O,O,O,O
te,O,O,O,O,O,O
maaken,O,O,O,O,O,O
;,O,O,O,O,O,O
en,O,O,O,O,O,O
het,O,O,O,O,O,O
vleesch,An,Prod,Lit,An,Prod,Lit
van,O,O,O,O,O,O
de,O,O,O,O,O,O
schouwders,O,O,O,An,Part,Lit
met,O,O,O,O,O,O
de,O,O,O,O,O,O
twee,O,O,O,O,O,O
platte,O,O,O,O,O,O
bil,An,Prod,Lit,An,Prod,Lit
stukken,An,Prod,Lit,An,Prod,Lit
",",O,O,O,O,O,O
met,O,O,O,O,O,O
het,O,O,O,O,O,O
vet,An,Prod,Lit,An,Prod,Lit
van,O,O,O,O,O,O
de,O,O,O,O,O,O
broek,O,O,O,O,O,O
gebruikt,O,O,O,O,O,O
men,O,O,O,O,O,O
tot,O,O,O,O,O,O
rolpens,An,Prod,Lit,An,Prod,Lit
in,O,O,O,O,O,O
